ID ТУРУ,НАЗВА ТУРУ,ОСНОВНИЙ НАПРЯМОК,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ЗАГАЛЬНИЙ VALUE SCORE,ДЖЕРЕЛО,VALUE SCORE EUROTRIPS,VALUE SCORE COMPETITORS,,,X_line,Y_line,,X_line,Y_line
ACC-140,Курортний Роман  Відпочинок на морі Іспанії  Швейцарія + Іспанія + Франція,Іспанія,"0,50","0,60",COMPETITOR,,"0,60",,,,,,,
ACC-141,Серенада південного сонця  Іспанія + Швейцарія   Відпочинок на морі,Іспанія,"0,69","0,53",COMPETITOR,,"0,53",,,,,,,
ACC-142,"«Релакс» по-італійськи: Амальфітанське узбережжя + Рим, Флоренція і Венеція!",Італія,"0,70","0,48",COMPETITOR,,"0,48",,,,,,,
ACC-143,Вікенд у Будапешт! + Відень!,Угорщина,"-0,44","0,50",COMPETITOR,,"0,50",,,,,,,
ACC-144,"Жага пригод  Амстердам, Париж + Діснейленд",Нідерланди,"-0,11","0,73",COMPETITOR,,"0,73",,,,,,,
ACC-145,Мої зимові пригоди в Італії: відпочинок в Доломітових Альпах,Італія,"0,11","0,68",COMPETITOR,,"0,68",,,,,,,
ACC-146,Східний хіт - Істанбул!,Молдова,"0,27","0,54",COMPETITOR,,"0,54",,,,,,,
ACC-147,Шалене серце або дорога до улюблених місць...,Болгарія,"-0,11","0,77",COMPETITOR,,"0,77",,,,,,,
ACC-148,Захоплюючий вікенд… + Трансфегераш,Румунія,"0,11","0,83",COMPETITOR,,"0,83",,,,,,,
ACC-149,Побачення з вампіром!!! Бухарест+Брашов,Румунія,"-0,17","0,69",COMPETITOR,,"0,69",,,,,,,
